,id,screen_name,followers_count,name,friends_count
250,53739956,juliamariemeyer,152,Julia Meyer,279
251,17826232,PureNintendo,18623,Pure Nintendo,103
252,355205560,Fran_Mabe,1836,Fran Mabe,1943
253,18743739,TroubleandBass,13219,Trouble & Bass,561
254,302383548,awesomeealee,595,Ale 🦄,644
255,90702268,ODOT_Cleveland,24217,ODOT Cleveland,365
256,108790206,mamacandmrb,318,Ciara C.,222
257,626000323,jordayyy3,448,Jordyn Augustus,273
258,380109252,Dak_B93,383,Dak,401
259,140247499,jennydubose,507,Jenny DuBose,227
260,84148687,happypawspetexp,1288,Happy Paws Pet Expo,1639
261,536740305,Ariana39x,5179,Ariana,456
262,282067411,OllieHayesPt,1346,Ollie Hayes (Cube),768
263,23069141,_Brodes,5574,Brodes,2000
264,38797785,Allison_M_Davis,854,Allison McCune Davis,771
265,272105946,dtoddd_,1107,D E L A N E Y,718
266,602800603,andrea___jk,358,andie,337
267,234095067,KyleKupscznk,62,Kyle Kupscznk,124
268,540934619,aldayshajuliet,18147,A L D A Y S H A,14420
269,616825312,JohnBest22,447,John Best,630
270,214172130,FoggWith2Gz,3095,Kevin Fogg,555
271,735183331,emilyrensel,550,emily ♕,144
272,203686372,AnnaGuerrra,628,Anna Conway,365
273,16908775,marshafriedman,43087,Marsha Friedman,37051
274,44302825,sandykanesticks,424,sandy,914
275,488505833,visabilitydotca,455,Visability Marketing,1407
276,35783147,MorrisBoyd,648,Morris Boyd Associat,2229
277,38535659,truthaddictVT,729,Kevin Wagner,765
278,18481646,davidkroll,11488,David Kroll,10223
279,34341362,jimmacpam,28508,Jim  McCarthy Jr.,25537
280,883556850,sean_mulqueen,275,Sean Mulqueen,305
281,37749235,TreeShepard,3841,Captain Kompromat,4717
282,18088439,sdevon,7863,Sarah Devaney ONeil,6810
283,22675961,kamljm,1147,kathleen,1897
284,26214905,PoeCommunicate,1443,Janita Poe,645
285,6291962,kikilitalien,8199,KiKi L'Italien,7861
286,334496252,ayyymanda,900,Amanda Harris ◡̈,630
287,57672188,audiojeff,809,Jeff Mitchell,1198
288,16908796,TS_Elliott,19028,T.S. Elliott ,1157
289,209715714,pinkhat100,311,Pink Hat,554
290,10224132,JennLukas,12600,Jenn Lukas,637
291,174326278,SaveTheLostBoys,8625,Save The Lost Boys,3467
292,612106761,xAmberIce_,191,♡IG ; xprettypeggy_,214
293,18350605,justrashad,1453,Rashad R. Moore,928
294,413925900,fatherdano,8772,Fr. Daniel O'Mullane,6729
